task_type,machine_type,machine_fuel_used,engine_hours,curr_load_cycles,idling_time,environmental_conditions,operator_level,actual_time_taken
Backhoeing,Excavator,16.7,1679,0,49,Cloudy,1,75
Loading,Backhoe,13.8,2003,35,40,Rainy,3,71
Excavation,Loader,13.9,1916,35,51,Rainy,1,85
Backhoeing,Excavator,12.8,1559,33,54,Dusty,3,84
Backhoeing,Bulldozer,21.3,1366,37,35,Rainy,1,91
Excavation,Bulldozer,9.3,1362,42,48,Windy,2,72
Loading,Backhoe,17.9,1357,10,36,Sunny,1,62
Excavation,Excavator,21.8,1332,3,53,Dusty,1,69
Excavation,Backhoe,13.6,878,18,29,Windy,2,54
Excavation,Loader,11.8,1097,25,15,Cloudy,3,44
Backhoeing,Excavator,12.6,1922,27,15,Cloudy,1,78
Bulldozing,Excavator,19.8,2097,18,10,Dusty,3,67
Loading,Excavator,11.9,1038,3,29,Sunny,2,40
Backhoeing,Backhoe,10.1,2143,22,44,Windy,2,84
Backhoeing,Bulldozer,18.4,1473,34,54,Windy,1,96
Backhoeing,Loader,9.0,1259,9,23,Rainy,1,76
Excavation,Backhoe,10.9,1403,11,56,Rainy,2,63
Loading,Bulldozer,17.0,942,30,21,Sunny,3,49
Bulldozing,Loader,15.7,1613,37,32,Sunny,1,83
Excavation,Loader,9.6,1652,18,39,Dusty,2,66
Backhoeing,Loader,11.7,985,41,22,Windy,3,68
Backhoeing,Loader,14.2,1046,5,16,Sunny,3,51
Backhoeing,Excavator,14.2,2091,9,46,Windy,3,73
Loading,Backhoe,15.6,914,33,11,Sunny,3,44
Bulldozing,Loader,8.6,1751,8,38,Dusty,2,67
Loading,Backhoe,13.9,1839,40,6,Sunny,3,52
Bulldozing,Loader,14.4,1279,6,8,Windy,1,63
Bulldozing,Backhoe,10.4,1588,36,15,Sunny,1,77
Backhoeing,Backhoe,20.0,1680,36,42,Rainy,3,82
Bulldozing,Bulldozer,11.0,1707,0,11,Rainy,2,56
Excavation,Loader,20.5,1747,41,52,Sunny,3,66
Loading,Excavator,20.5,1628,19,18,Rainy,2,53
Excavation,Backhoe,9.3,1261,18,54,Dusty,3,57
Loading,Loader,15.8,2081,15,34,Windy,1,75
Backhoeing,Excavator,14.5,1657,18,44,Sunny,1,89
Bulldozing,Loader,20.8,1334,1,34,Rainy,1,74
Backhoeing,Backhoe,12.1,1032,24,33,Windy,1,78
Excavation,Excavator,21.6,1628,9,5,Windy,3,42
Excavation,Bulldozer,15.4,1434,28,18,Cloudy,1,61
Backhoeing,Backhoe,9.0,1875,41,5,Dusty,2,85
Loading,Loader,16.0,905,16,8,Dusty,2,42
Backhoeing,Loader,12.7,879,30,54,Cloudy,2,75
Backhoeing,Backhoe,14.8,1977,35,12,Windy,3,75
Backhoeing,Excavator,13.8,1474,0,14,Cloudy,1,68
Loading,Bulldozer,9.4,1173,25,9,Sunny,3,39
Bulldozing,Backhoe,15.5,1194,43,25,Windy,2,77
Excavation,Excavator,15.1,2120,17,33,Windy,1,73
Loading,Loader,9.3,704,4,29,Dusty,1,54
Excavation,Bulldozer,16.1,1842,43,56,Sunny,2,77
Backhoeing,Backhoe,12.3,1540,20,57,Cloudy,3,69
Bulldozing,Backhoe,17.1,833,25,45,Rainy,1,80
Loading,Backhoe,15.2,731,21,42,Sunny,2,49
Loading,Loader,20.5,2127,43,50,Windy,2,83
Bulldozing,Backhoe,19.7,2004,13,33,Rainy,2,72
Excavation,Backhoe,10.4,853,22,23,Windy,1,62
Loading,Bulldozer,12.8,1497,40,57,Cloudy,3,68
Loading,Bulldozer,16.4,1294,7,55,Windy,2,59
Excavation,Loader,12.9,785,42,60,Rainy,1,85
Backhoeing,Backhoe,10.4,855,36,33,Windy,3,72
Bulldozing,Excavator,16.6,1631,5,54,Dusty,2,73
Bulldozing,Bulldozer,11.5,1965,5,55,Sunny,3,66
Loading,Bulldozer,18.5,1465,36,46,Rainy,3,67
Excavation,Loader,16.9,1133,23,47,Rainy,1,77
Bulldozing,Excavator,13.5,1184,18,7,Windy,3,53
Excavation,Excavator,14.4,1072,5,52,Rainy,3,46
Loading,Loader,13.1,707,37,47,Dusty,2,61
Loading,Backhoe,10.9,1214,4,40,Sunny,1,57
Excavation,Loader,8.5,1691,12,38,Cloudy,3,48
Loading,Loader,8.2,1796,20,26,Dusty,2,57
Backhoeing,Excavator,12.5,1174,28,25,Windy,3,70
Loading,Loader,19.3,1631,16,44,Windy,3,61
Backhoeing,Backhoe,15.3,1354,17,22,Cloudy,3,59
Loading,Loader,16.3,766,39,4,Sunny,1,53
Backhoeing,Bulldozer,8.0,2039,43,50,Rainy,2,95
Bulldozing,Excavator,10.6,932,42,38,Sunny,1,84
Backhoeing,Backhoe,11.2,1618,29,28,Sunny,3,74
Excavation,Bulldozer,21.0,1770,40,40,Cloudy,2,73
Bulldozing,Loader,17.3,2026,38,49,Cloudy,3,79
Loading,Bulldozer,18.1,1377,28,44,Windy,2,71
Excavation,Backhoe,13.9,1215,25,17,Windy,1,63
Backhoeing,Bulldozer,10.4,889,26,29,Dusty,2,74
Bulldozing,Backhoe,18.1,1914,27,57,Dusty,2,85
Bulldozing,Excavator,18.7,1398,5,54,Rainy,1,82
Bulldozing,Backhoe,15.6,1112,17,7,Sunny,3,47
Excavation,Backhoe,8.9,2105,22,52,Cloudy,1,80
Excavation,Excavator,13.3,728,34,43,Rainy,3,60
Loading,Excavator,16.9,1971,41,45,Sunny,2,74
Loading,Bulldozer,15.3,846,44,48,Sunny,3,61
Bulldozing,Loader,18.7,1723,11,54,Windy,1,88
Backhoeing,Bulldozer,18.8,1100,22,46,Dusty,1,90
Excavation,Bulldozer,11.1,1779,14,50,Rainy,1,77
Loading,Backhoe,20.4,997,40,39,Cloudy,1,76
Backhoeing,Bulldozer,16.9,1224,37,54,Cloudy,2,82
Backhoeing,Bulldozer,20.1,751,34,29,Dusty,3,70
Loading,Backhoe,12.2,2045,38,20,Rainy,1,83
Excavation,Backhoe,16.2,1060,30,44,Dusty,1,74
Excavation,Excavator,8.2,2166,18,9,Cloudy,1,66
Excavation,Bulldozer,15.4,2142,22,36,Dusty,1,84
Loading,Loader,16.1,1741,37,6,Sunny,2,58
Backhoeing,Excavator,14.7,1604,19,55,Sunny,3,73
Backhoeing,Loader,13.8,1755,11,12,Dusty,1,81
Backhoeing,Bulldozer,10.4,1222,24,34,Dusty,3,68
Excavation,Backhoe,18.9,2176,34,32,Rainy,1,82
Excavation,Bulldozer,14.8,1123,23,42,Rainy,3,55
Backhoeing,Backhoe,16.1,1577,4,21,Dusty,1,78
Backhoeing,Loader,10.4,741,16,7,Cloudy,1,64
Backhoeing,Bulldozer,9.0,1809,41,8,Dusty,2,80
Backhoeing,Excavator,16.3,1057,20,42,Dusty,2,79
Bulldozing,Bulldozer,14.9,1874,6,51,Rainy,3,69
Backhoeing,Bulldozer,16.0,1603,32,24,Sunny,3,67
Excavation,Bulldozer,14.2,781,25,53,Dusty,1,74
Loading,Backhoe,17.6,2190,14,6,Sunny,1,65
Excavation,Loader,21.3,1614,31,30,Cloudy,1,68
Backhoeing,Excavator,18.3,981,9,60,Cloudy,3,59
Excavation,Bulldozer,8.2,2014,0,56,Sunny,2,59
Excavation,Excavator,10.6,847,40,19,Rainy,3,50
Loading,Bulldozer,11.0,907,34,17,Rainy,3,47
Bulldozing,Loader,18.8,935,44,38,Dusty,2,82
Bulldozing,Loader,20.6,1892,28,38,Cloudy,2,74
Bulldozing,Loader,19.1,1839,29,43,Windy,3,81
Bulldozing,Excavator,19.5,785,15,30,Cloudy,2,55
Excavation,Backhoe,13.8,1124,0,37,Rainy,2,44
Backhoeing,Backhoe,11.0,1136,11,43,Cloudy,1,79
Excavation,Loader,12.2,2091,6,15,Dusty,3,52
Backhoeing,Loader,12.2,1348,38,4,Rainy,3,68
Excavation,Loader,10.6,1929,34,22,Cloudy,2,66
Loading,Backhoe,20.3,982,16,54,Rainy,1,68
Loading,Backhoe,20.1,1504,32,23,Dusty,3,60
Loading,Backhoe,9.9,2151,33,58,Dusty,1,92
Excavation,Loader,14.6,1162,10,16,Sunny,2,46
Excavation,Loader,16.3,1752,32,37,Rainy,1,83
Excavation,Bulldozer,13.1,1217,41,50,Sunny,3,67
Loading,Excavator,13.5,1396,30,35,Rainy,2,69
Loading,Backhoe,17.4,1866,18,46,Cloudy,2,61
Excavation,Excavator,8.3,2183,23,38,Sunny,2,70
Loading,Excavator,20.1,1998,16,12,Dusty,3,48
Excavation,Bulldozer,17.9,916,28,47,Cloudy,1,67
Excavation,Backhoe,18.6,1218,27,35,Dusty,2,61
Loading,Backhoe,15.9,1847,45,30,Dusty,3,69
Backhoeing,Backhoe,8.6,2155,13,56,Sunny,2,83
Excavation,Bulldozer,21.7,1322,20,59,Windy,2,67
Excavation,Bulldozer,14.8,1992,3,24,Cloudy,1,54
Bulldozing,Excavator,18.7,1994,21,8,Rainy,3,64
Backhoeing,Excavator,10.0,1175,39,48,Rainy,1,100
Loading,Backhoe,20.2,1140,41,55,Windy,3,68
Loading,Excavator,18.3,1614,4,48,Dusty,3,56
Bulldozing,Loader,11.3,1397,13,50,Sunny,1,77
Excavation,Bulldozer,19.7,763,44,57,Windy,1,87
Backhoeing,Bulldozer,16.4,1818,36,27,Cloudy,1,94
Loading,Excavator,17.8,2177,4,13,Windy,1,67
Bulldozing,Excavator,14.2,1108,18,32,Windy,3,60
Excavation,Excavator,20.5,1731,36,58,Sunny,2,72
Backhoeing,Bulldozer,12.8,767,13,15,Windy,1,74
Excavation,Backhoe,20.7,2108,37,13,Sunny,3,57
Bulldozing,Bulldozer,13.0,1965,0,31,Dusty,1,79
Backhoeing,Backhoe,14.8,1238,0,27,Windy,2,64
Loading,Loader,10.1,834,45,37,Rainy,2,65
Backhoeing,Backhoe,9.9,1769,27,22,Cloudy,3,66
Bulldozing,Backhoe,18.6,2192,0,34,Cloudy,3,55
Backhoeing,Excavator,14.1,2186,38,13,Windy,2,85
Loading,Loader,12.6,1808,25,33,Windy,2,67
Bulldozing,Excavator,17.1,1439,39,22,Cloudy,3,65
Bulldozing,Loader,18.3,1641,31,47,Dusty,2,86
Bulldozing,Excavator,15.5,1845,12,23,Dusty,2,68
Bulldozing,Excavator,11.5,1136,4,47,Cloudy,2,56
Backhoeing,Backhoe,21.4,2147,32,42,Rainy,3,86
Backhoeing,Backhoe,21.7,900,28,28,Dusty,2,72
Bulldozing,Excavator,15.1,1474,32,48,Windy,2,85
Excavation,Bulldozer,20.5,1179,20,42,Windy,3,52
Excavation,Excavator,20.9,1998,21,31,Cloudy,1,73
Bulldozing,Backhoe,18.3,818,41,10,Cloudy,2,58
Bulldozing,Bulldozer,11.3,2082,22,28,Sunny,1,78
Bulldozing,Backhoe,17.8,1239,3,8,Rainy,1,58
Bulldozing,Loader,21.3,1254,29,47,Cloudy,1,80
Loading,Excavator,20.0,1456,26,12,Cloudy,1,61
Excavation,Backhoe,9.3,1096,22,58,Sunny,2,65
Loading,Bulldozer,8.9,1538,34,59,Dusty,3,73
Loading,Bulldozer,20.7,935,4,5,Sunny,3,29
Excavation,Excavator,14.7,1133,33,10,Sunny,2,46
Backhoeing,Excavator,18.9,1951,43,54,Cloudy,1,100
Bulldozing,Bulldozer,13.7,1661,24,38,Windy,3,74
Bulldozing,Excavator,15.8,1524,37,27,Cloudy,1,78
Loading,Excavator,10.6,710,14,38,Dusty,3,49
Loading,Backhoe,15.1,1481,40,37,Windy,1,80
Excavation,Excavator,16.5,2057,45,6,Sunny,1,77
Backhoeing,Backhoe,18.9,1387,19,55,Sunny,2,73
Bulldozing,Excavator,10.5,1698,8,41,Cloudy,1,77
Loading,Loader,18.6,1074,30,40,Windy,1,73
Excavation,Backhoe,9.7,1949,23,27,Cloudy,2,62
Backhoeing,Loader,13.8,2134,12,49,Rainy,2,81
Loading,Bulldozer,12.6,813,17,57,Rainy,1,72
Excavation,Excavator,17.5,1128,26,57,Dusty,3,65
Bulldozing,Backhoe,9.8,902,27,45,Sunny,3,65
Bulldozing,Backhoe,19.1,734,11,36,Windy,1,74
Backhoeing,Excavator,15.5,1900,10,35,Dusty,3,66
Loading,Bulldozer,13.2,730,8,34,Rainy,2,47
Backhoeing,Bulldozer,13.2,876,23,46,Dusty,3,69
Backhoeing,Backhoe,20.8,738,26,9,Sunny,2,62
Bulldozing,Backhoe,21.4,1071,25,17,Windy,1,75
Excavation,Backhoe,8.3,855,21,11,Rainy,3,43
Excavation,Loader,8.5,1179,6,53,Sunny,1,66
Backhoeing,Bulldozer,19.9,899,40,26,Cloudy,3,68
Excavation,Backhoe,17.2,1795,10,40,Dusty,2,62
Loading,Loader,9.3,2083,21,48,Sunny,3,64
Bulldozing,Backhoe,21.7,1375,7,34,Dusty,3,59
Backhoeing,Excavator,11.6,1148,17,20,Cloudy,3,53
Loading,Backhoe,17.4,1615,30,34,Cloudy,3,56
Excavation,Loader,19.5,1138,45,28,Rainy,2,70
Loading,Excavator,10.4,886,5,6,Rainy,3,31
Excavation,Backhoe,11.7,1426,20,45,Rainy,1,76
Backhoeing,Excavator,14.3,1192,3,7,Dusty,2,54
Excavation,Excavator,8.7,1586,2,37,Cloudy,3,48
Loading,Backhoe,10.1,1677,43,35,Dusty,2,75
Bulldozing,Loader,12.5,834,30,25,Dusty,1,72
Backhoeing,Bulldozer,9.1,1163,24,26,Rainy,2,76
Loading,Excavator,16.4,888,23,42,Sunny,3,49
Bulldozing,Loader,15.6,1674,12,14,Rainy,1,74
Backhoeing,Loader,9.7,1100,42,28,Sunny,3,69
Bulldozing,Excavator,20.4,1067,4,38,Rainy,1,73
Excavation,Loader,19.0,702,36,44,Cloudy,1,74
Loading,Bulldozer,17.3,2132,16,27,Cloudy,2,59
Excavation,Backhoe,13.0,1643,43,41,Cloudy,2,69
Backhoeing,Bulldozer,11.9,1717,5,51,Rainy,1,83
Loading,Excavator,11.0,1589,12,31,Windy,3,49
Excavation,Bulldozer,12.4,841,17,58,Rainy,1,69
Loading,Excavator,13.6,1506,24,5,Dusty,1,64
Loading,Loader,8.6,2168,8,15,Sunny,1,65
Loading,Excavator,14.7,1013,15,21,Cloudy,3,37
Bulldozing,Backhoe,12.2,1415,1,59,Windy,1,78
Excavation,Bulldozer,13.2,1177,40,21,Cloudy,1,70
Bulldozing,Bulldozer,16.8,1545,15,11,Sunny,2,57
Loading,Bulldozer,14.5,1929,21,8,Sunny,3,46
Backhoeing,Loader,12.9,1933,5,46,Cloudy,2,69
Excavation,Excavator,15.6,1635,8,48,Rainy,1,74
Excavation,Excavator,8.8,1086,3,6,Windy,2,44
Loading,Excavator,12.7,725,35,34,Rainy,2,61
Excavation,Bulldozer,11.8,856,3,51,Windy,1,62
Bulldozing,Excavator,19.3,1803,26,46,Rainy,3,78
Excavation,Excavator,21.4,1105,28,15,Windy,3,50
Excavation,Loader,15.7,1519,13,7,Cloudy,2,47
Bulldozing,Backhoe,13.5,1890,22,22,Windy,1,81
Loading,Bulldozer,17.0,1446,36,26,Dusty,2,69
Excavation,Excavator,9.0,2081,32,9,Cloudy,2,56
Bulldozing,Bulldozer,19.4,937,14,31,Dusty,3,57
Loading,Excavator,14.0,2070,24,42,Cloudy,1,72
Excavation,Loader,14.1,1077,10,26,Cloudy,2,39
Backhoeing,Excavator,20.0,1903,41,57,Rainy,1,103
Excavation,Backhoe,8.1,1600,43,54,Dusty,3,71
Bulldozing,Backhoe,19.2,1757,38,50,Windy,3,81
Bulldozing,Bulldozer,14.4,1576,9,55,Rainy,3,64
Backhoeing,Loader,14.7,1775,14,47,Sunny,2,75
Backhoeing,Backhoe,14.3,1259,3,53,Dusty,3,64
Excavation,Excavator,19.9,1949,30,15,Cloudy,1,71
Excavation,Loader,12.8,993,39,30,Sunny,1,64
Excavation,Loader,14.0,1205,33,22,Rainy,3,60
Excavation,Bulldozer,19.0,923,18,49,Windy,2,61
Bulldozing,Loader,14.0,2143,31,28,Rainy,3,74
Backhoeing,Backhoe,19.7,1791,1,10,Sunny,2,55
Bulldozing,Backhoe,16.1,1669,24,23,Windy,1,84
Bulldozing,Loader,12.1,1348,4,24,Sunny,1,61
Backhoeing,Backhoe,21.5,709,23,36,Cloudy,3,58
Excavation,Backhoe,10.6,1853,4,41,Sunny,2,50
Bulldozing,Excavator,13.1,1681,20,42,Dusty,1,88
Bulldozing,Backhoe,17.6,1470,37,31,Windy,2,73
Loading,Bulldozer,10.7,1970,10,16,Windy,3,45
Backhoeing,Excavator,15.2,1243,27,19,Cloudy,1,73
Bulldozing,Bulldozer,8.3,1756,1,40,Sunny,2,61
Bulldozing,Backhoe,19.0,802,15,18,Cloudy,1,59
Loading,Loader,13.4,1222,2,53,Dusty,1,63
Loading,Excavator,18.5,840,25,50,Windy,3,53
Excavation,Loader,8.8,1076,7,4,Sunny,1,41
Backhoeing,Excavator,14.9,1904,33,13,Windy,3,77
Bulldozing,Excavator,17.7,1643,31,60,Cloudy,3,80
Backhoeing,Excavator,21.4,1136,44,47,Windy,1,95
Backhoeing,Loader,16.8,1425,39,20,Cloudy,2,77
Loading,Backhoe,12.9,2146,8,33,Rainy,2,57
Bulldozing,Excavator,11.4,1164,44,29,Sunny,1,79
Bulldozing,Loader,18.5,1830,18,7,Cloudy,2,57
Bulldozing,Bulldozer,21.8,1614,40,27,Rainy,1,87
Backhoeing,Loader,11.3,1344,18,39,Windy,3,69
Excavation,Loader,19.0,2154,15,51,Sunny,1,79
Excavation,Excavator,17.4,846,30,51,Windy,1,76
Backhoeing,Bulldozer,14.2,827,14,31,Sunny,3,57
Loading,Excavator,14.3,811,40,29,Dusty,2,65
Bulldozing,Bulldozer,10.8,2119,16,59,Sunny,1,86
Excavation,Excavator,16.4,1588,14,11,Cloudy,1,52
Loading,Backhoe,20.5,1260,3,48,Cloudy,3,48
Backhoeing,Excavator,17.9,2030,35,43,Dusty,1,104
Backhoeing,Backhoe,14.3,1493,11,11,Cloudy,3,56
Excavation,Bulldozer,17.7,1518,41,40,Windy,1,83
Excavation,Excavator,19.4,1135,10,12,Sunny,3,31
Excavation,Bulldozer,9.3,1607,4,13,Cloudy,3,36
Backhoeing,Excavator,9.5,2146,5,45,Windy,1,88
Bulldozing,Loader,9.5,1560,12,30,Dusty,3,59
Loading,Excavator,21.6,1526,30,24,Rainy,1,69
Backhoeing,Bulldozer,21.7,714,24,38,Windy,2,70
Excavation,Backhoe,18.5,911,13,20,Cloudy,2,46
Excavation,Bulldozer,15.3,1247,43,41,Dusty,3,62
Loading,Bulldozer,12.3,1942,3,17,Dusty,3,46
Bulldozing,Excavator,15.6,814,18,41,Windy,1,78
Backhoeing,Excavator,21.0,780,3,4,Rainy,3,45
Bulldozing,Backhoe,9.6,1216,5,53,Dusty,3,66
Bulldozing,Backhoe,9.2,1369,31,43,Rainy,1,84
Loading,Excavator,14.6,1896,6,36,Sunny,3,52
Excavation,Bulldozer,14.5,1059,28,58,Sunny,1,78
Excavation,Bulldozer,14.9,848,38,55,Dusty,3,67
Loading,Loader,15.1,1502,36,40,Sunny,3,60
Excavation,Backhoe,20.3,2194,13,16,Windy,3,49
Excavation,Loader,14.4,839,10,42,Dusty,3,42
Loading,Bulldozer,16.1,746,41,4,Windy,2,52
Loading,Backhoe,18.5,1597,27,31,Windy,1,75
Excavation,Backhoe,19.8,1226,19,7,Dusty,1,63
Excavation,Loader,10.9,966,36,15,Rainy,2,62
Backhoeing,Bulldozer,21.8,2046,4,21,Sunny,1,74
Loading,Excavator,12.7,1449,2,45,Dusty,1,63
Bulldozing,Loader,12.3,1161,37,35,Sunny,1,77
Loading,Bulldozer,21.8,2059,4,51,Dusty,3,60
Loading,Loader,11.7,843,33,10,Cloudy,2,44
Backhoeing,Backhoe,15.7,1942,11,8,Windy,1,79
Loading,Excavator,19.2,1406,33,44,Dusty,1,81
Backhoeing,Loader,17.9,1986,39,29,Windy,2,86
Backhoeing,Bulldozer,10.0,2129,32,9,Dusty,1,92
Backhoeing,Excavator,16.8,1420,3,51,Windy,1,82
Backhoeing,Loader,11.6,1988,35,26,Rainy,2,88
Excavation,Excavator,19.8,1609,24,38,Sunny,3,59
Excavation,Bulldozer,20.6,731,40,5,Cloudy,2,47
Loading,Excavator,9.2,1440,21,51,Cloudy,2,62
Backhoeing,Backhoe,21.0,978,35,21,Windy,2,72
Loading,Excavator,9.2,1159,20,60,Rainy,2,63
Excavation,Excavator,12.4,719,36,16,Windy,3,53
Loading,Loader,12.6,1292,0,41,Rainy,1,59
Loading,Backhoe,8.5,2117,29,22,Dusty,2,72
Backhoeing,Loader,22.0,1024,32,59,Windy,1,92
Excavation,Backhoe,16.6,1404,42,15,Rainy,1,78
Excavation,Bulldozer,10.5,755,45,44,Sunny,1,73
Bulldozing,Loader,13.8,1147,20,47,Sunny,2,68
Bulldozing,Loader,21.9,2187,21,54,Cloudy,2,78
Backhoeing,Bulldozer,14.2,1093,19,38,Dusty,1,82
Loading,Loader,13.3,2029,33,37,Dusty,3,73
Excavation,Loader,14.0,1097,22,32,Rainy,3,57
Bulldozing,Bulldozer,20.1,840,19,60,Dusty,2,70
Excavation,Backhoe,17.4,2092,45,8,Cloudy,2,64
Bulldozing,Excavator,18.9,896,43,59,Rainy,3,83
Excavation,Bulldozer,19.9,2039,29,36,Windy,3,69
Backhoeing,Backhoe,16.3,2159,7,28,Rainy,1,79
Loading,Excavator,18.3,1735,26,15,Windy,2,57
Excavation,Backhoe,20.4,827,9,25,Rainy,1,54
Excavation,Bulldozer,8.7,2166,24,33,Cloudy,3,64
Bulldozing,Excavator,15.1,2137,4,32,Windy,3,62
Backhoeing,Loader,17.1,1360,36,24,Cloudy,2,75
Backhoeing,Backhoe,13.6,1839,38,26,Sunny,2,81
Backhoeing,Bulldozer,14.4,764,4,42,Sunny,3,52
Backhoeing,Bulldozer,18.6,1682,30,7,Rainy,1,87
